instance_no,L2_value,drop_value,loss
254,4.26E-06,0.020123174,0.646996
255,0.00055695,0.491586297,0.652514783
256,2.28E-06,0.236202244,0.648595482
257,3.12E-06,0.312086949,0.643996617
258,5.37E-06,0.330427299,0.642449424
259,3.83E-06,0.318681932,0.63965998
260,4.24E-05,0.153030027,0.647223768
261,0.00037241,0.08489777,0.646140569
262,5.55E-05,0.025855076,0.638776419
263,0.000455829,0.16856373,0.644951737
264,1.81E-06,0.105714891,0.640162379
265,7.14E-05,0.24477223,0.64549005
266,2.91E-06,0.013391852,0.646362433
267,4.43E-05,0.498489165,0.641895008
268,1.70E-05,0.266254034,0.645152012
269,6.74E-06,0.07715186,0.646623242
270,0.000621852,0.374831488,0.642900535
271,1.13E-05,0.377659406,0.646920043
272,5.20E-05,0.12581866,0.646202576
273,0.00101129,0.446212324,0.644140053
274,0.000712744,0.276809993,0.644905555
275,0.000156817,0.170263672,0.644679323
276,0.000432773,0.177010764,0.640873256
277,6.26E-05,0.063364127,0.645533043
278,2.43E-06,0.203116042,0.646113774
279,0.000358839,0.082866417,0.641492617
280,0.000307547,0.011706303,0.645415553
281,2.58E-06,0.430079903,0.643957922
282,2.83E-06,0.083104133,0.640964481
283,2.96E-06,0.173943736,0.647116128
284,0.000133841,0.416685302,0.641009349
285,4.97E-06,0.296990163,0.64734931
286,5.96E-06,0.350974139,0.645750967
287,3.18E-05,0.249309654,0.643751571
288,8.15E-06,0.033727764,0.643354958
289,7.47E-05,0.487351326,0.642577758
290,2.09E-06,0.058129658,0.644280308
291,1.18E-06,0.201821538,0.6440631
292,3.27E-05,0.238686863,0.647462904
293,2.70E-06,0.281702108,0.638450551
294,4.68E-06,0.333810993,0.647125047
295,0.001238023,0.089438162,0.639670587
296,0.000138723,0.346014063,0.642522269
297,4.98E-06,0.29153578,0.645778763
298,0.000140445,0.371098711,0.638214695
299,0.000810982,0.169621806,0.638237292
300,5.18E-05,0.229303516,0.642864451
301,0.00067317,0.092565401,0.642876238
302,0.001226237,0.134273823,0.641658163
303,0.001698169,0.369266166,0.643848607
304,0.000492744,0.292475103,0.643939203
305,7.29E-06,0.047237183,0.640351489
306,0.000239434,0.202951524,0.642647371
307,0.00022524,0.049277028,0.638765812
308,0.000141938,0.263852535,0.645306426
309,1.99E-05,0.111531439,0.644828746
310,1.97E-05,0.424759313,0.645859477
311,1.52E-06,0.008786825,0.644062504
312,5.26E-05,0.132931592,0.641167942
313,0.00027131,0.137600651,0.642385861
314,4.66E-05,0.086548672,0.651052809
315,5.46E-06,0.359405005,0.643950748
316,0.000611537,0.071686021,0.646148333
317,1.64E-05,0.115552357,0.640680203
318,2.52E-06,0.00872568,0.6399317
319,0.000436844,0.341002146,0.640458935
320,0.00052834,0.352787129,0.638225076
321,6.85E-06,0.423360825,0.64442125
322,3.87E-05,0.295693476,0.642855832
323,0.000110221,0.440119057,0.639363745
324,6.86E-06,0.088174342,0.641421175
325,2.83E-06,0.230773664,0.641637078
326,0.000240884,0.182344205,0.640585816
327,9.28E-05,0.121493657,0.639258888
328,8.61E-06,0.013696431,0.640056491
329,6.25E-06,0.096925883,0.640472117
330,0.000114881,0.036130303,0.642383441
331,8.53E-06,0.136757709,0.642971012
332,5.05E-05,0.023143403,0.641567448
333,2.90E-05,0.176485229,0.641643885
334,2.91E-06,0.033315459,0.637939999
335,9.90E-05,0.152133559,0.644396076
336,3.70E-05,0.18937319,0.635918358
337,9.87E-06,0.432977852,0.638806823
338,2.17E-05,0.256729348,0.637811217
339,5.07E-06,0.254988494,0.639232841
340,2.31E-06,0.367184917,0.637840438
341,3.47E-05,0.430305828,0.639565057
342,3.64E-06,0.125289845,0.639983851
343,8.41E-06,0.309596154,0.637495974
344,0.000186824,0.086710106,0.644757512
345,0.000122366,0.005823208,0.63947984
346,0.000363347,0.218922857,0.639169201
347,4.01E-05,0.179296413,0.637369776
348,0.000397883,0.171351804,0.64650737
349,1.83E-05,0.125321786,0.638019085
350,3.67E-05,0.203836599,0.634429827
351,0.000285144,0.054598303,0.644155112
352,1.60E-06,0.347091832,0.645323864
353,5.98E-05,0.464247326,0.645178059
354,0.000167095,0.479019738,0.637133759
355,1.06E-06,0.114895437,0.63698734
356,1.07E-05,0.025722529,0.632956326
357,4.08E-06,0.173455344,0.640874979
358,1.23E-05,0.453694817,0.638488644
359,6.89E-06,0.270127875,0.64110857
360,4.68E-05,0.310749973,0.640776139
361,5.09E-06,0.355246237,0.643079844
362,2.26E-05,0.096133779,0.639511803
363,1.85E-06,0.396008109,0.639035708
364,0.000120189,0.40922402,0.637691647
365,1.52E-05,0.066731226,0.639330664
366,5.97E-06,0.242294913,0.642516682
367,1.90E-06,0.304456327,0.641120198
368,4.56E-05,0.490645691,0.644454035
369,2.12E-06,0.350173966,0.643111017
370,4.29E-06,0.221426348,0.641335413
371,3.33E-05,0.269831756,0.641361043
372,0.00011622,0.003245255,0.639643273
373,7.56E-05,0.082016654,0.634392005
374,0.001518057,0.019533434,0.638935071
375,8.98E-06,0.400537224,0.636828399
376,0.000314753,0.057650823,0.64798426
377,2.69E-05,0.479808006,0.634846324
